,VaR
2020-07-15,0.013387931678512266
2020-07-16,0.012915154592186121
2020-07-17,0.010978452329151758
2020-07-20,0.009745297591685602
2020-07-21,0.00977459839346263
2020-07-22,0.011169582957755603
2020-07-23,0.009831904358907349
2020-07-24,0.010746799748567841
2020-07-27,0.010750187198385403
2020-07-28,0.009132286557795972
2020-07-29,0.00974648723787086
2020-07-30,0.009734326603868634
2020-07-31,
2020-08-03,0.026107286360806847
2020-08-04,0.0262284617568653
2020-08-05,0.026292630504595644
2020-08-06,0.02602041132849141
2020-08-07,0.021306488912522115
2020-08-10,0.01583639339518058
2020-08-11,0.015611929910253087
2020-08-12,0.01565184819723604
2020-08-13,0.012633403586522473
2020-08-14,0.012719641496227582
2020-08-17,0.012755364943687768
2020-08-18,0.012661768513324555
2020-08-19,0.01567115652384419
2020-08-20,0.013381990170613959
2020-08-21,0.013058311450871623
2020-08-24,0.012934924953660581
2020-08-25,0.015264336634581726
2020-08-26,0.013559375812732453
2020-08-27,0.01362327450353881
2020-08-28,0.013453881587302737
2020-08-31,
2020-09-01,0.023371401272972346
2020-09-02,0.0234237333556781
2020-09-03,0.02130558177553031
2020-09-04,0.021346246774371847
2020-09-08,0.014813878462124183
2020-09-09,0.014756546022446129
2020-09-10,0.013248897095198118
2020-09-11,0.013178647633605553
2020-09-14,0.011615550742109883
2020-09-15,0.010731559349384986
2020-09-16,0.010026839281760548
2020-09-17,0.010338650465103953
2020-09-18,0.010990651282767043
2020-09-21,0.010917231035958543
2020-09-22,0.010257093409825316
2020-09-23,0.011772053063782376
2020-09-24,0.011116382039500702
2020-09-25,0.011271684481241929
2020-09-28,0.012400890467149742
2020-09-29,0.011160676525611191
2020-09-30,
2020-10-01,0.02786700036563634
2020-10-02,0.027789961442505482
2020-10-05,
2020-10-06,0.02289591508075027
2020-10-07,0.01949182078234205
2020-10-08,0.018158967392312295
2020-10-09,0.018248934447086935
2020-10-12,0.018150512535229802
2020-10-13,0.018371647466088256
2020-10-14,0.018214206391232158
2020-10-15,0.018122161639916604
2020-10-16,0.018088317772369862
2020-10-19,0.014934599794258784
2020-10-20,0.015139772001255783
2020-10-21,0.015104525190640752
2020-10-22,0.013219290572197595
